region,total_cases,total_injured,total_died,fatality_rate,injury_rate,severity_index,risk_category,road_cases,rail_cases,crossing_cases
Puducherry,1190,1282,190,0.1597,1.0773,1.3966,"Low Risk",1181,9,0
Chennai,3452,3724,507,0.1469,1.0788,1.3725,"Low Risk",3452,0,0
Coimbatore,1085,939,272,0.2507,0.8654,1.3668,"Low Risk",1085,0,0
Ahmedabad,1751,1305,529,0.3021,0.7453,1.3495,"Low Risk",1711,40,0
Kerala,43970,49318,4696,0.1068,1.1216,1.3352,"Low Risk",43592,194,184
Madurai,744,601,192,0.2581,0.8078,1.3239,"Low Risk",744,0,0
Thrissur,2374,2711,210,0.0885,1.1420,1.3189,"Low Risk",2374,0,0
Srinagar,426,438,53,0.1244,1.0282,1.2770,"Low Risk",426,0,0
Kollam,2094,2176,225,0.1074,1.0392,1.2541,"Low Risk",2083,11,0
Kozhikode,2074,2164,215,0.1037,1.0434,1.2507,"Low Risk",2054,7,13
Thiruvananthapuram,1843,1910,189,0.1026,1.0364,1.2415,"Low Risk",1825,0,18
Bengaluru,3822,3189,772,0.2020,0.8344,1.2384,"Low Risk",3822,0,0
"Andaman and Nicobar Islands",141,136,19,0.1348,0.9645,1.2340,"Low Risk",141,0,0
Kolkata,1037,816,217,0.2093,0.7869,1.2054,"Low Risk",1037,0,0
"Durg Bhilainagar",819,601,175,0.2137,0.7338,1.1612,"Low Risk",789,30,0
Gwalior,1232,1096,164,0.1331,0.8896,1.1558,"Low Risk",1219,0,13
Hyderabad,2516,2252,323,0.1284,0.8951,1.1518,"Low Risk",2516,0,0
Jabalpur,2460,2439,167,0.0679,0.9915,1.1272,"Low Risk",2460,0,0
Kochi,2454,2362,178,0.0725,0.9625,1.1076,"Low Risk",2432,0,22
Indore,3334,2731,299,0.0897,0.8191,0.9985,"Low Risk",3317,17,0
Raipur,1054,575,219,0.2078,0.5455,0.9611,"Low Risk",1021,33,0
Bhopal,2855,2151,272,0.0953,0.7534,0.9440,"Low Risk",2788,62,5
Goa,3066,1071,328,0.1070,0.3493,0.5633,"Low Risk",3012,54,0
